bstoparsno,bstopid,name,stoptype,lng,lat
12069,190280201,"해덕파워웨이","일반",128.848459999999990,35.093400000000003
12070,209460101,"삼성자동차정문","일반",128.876804999999990,35.088909999999998
12071,189460201,"삼성출고사무소","일반",128.866608300000000,35.097611669999999
12072,203310201,"용원사거리","일반",128.822156799999990,35.097684010000002
12073,190440301,"용원사거리","일반",128.822425900000010,35.097950320000002
12074,203310101,"용원서병원","일반",128.822773299999990,35.099351499999997
12075,190520201,"(주)거보","일반",128.830975599999990,35.095182350000002
12076,190830301,"(주)거보","일반",128.831126700000000,35.095311670000001
12077,190320201,"부산프라스틱공업","일반",128.838630499999990,35.093310580000001
12078,190980401,"풍영산업","일반",128.839705799999990,35.091705890000000
12079,191070301,"경제자유구역청","일반",128.839215499999990,35.086992129999999
12081,190280402,"리노공업","일반",128.843198000000000,35.093510999999999
12082,189420101,"녹산하수처리장","일반",128.865848300000010,35.089468330000003
12084,176810201,"전등","일반",128.925099800000000,35.093457899999997
12085,176810202,"낙동강철새도래지","일반",128.916774400000010,35.090078069999997
12086,209430101,"낙동강철새도래지","일반",128.917384199999990,35.089932419999997
12088,188900301,"성산2구","일반",128.891331699999990,35.119259999999997
12089,191320302,"성고개","일반",128.856573300000010,35.110476669999997
12090,190870301,"송정","일반",128.842476199999990,35.105860249999999
12091,209550501,"녹산농협","일반",128.878115000000010,35.111279000000003
12092,191560202,"진동","일반",128.926975000000000,35.098051669999997
12093,176810101,"전등","일반",128.925929999999990,35.094029999999997
12096,190540201,"(주)태광","일반",128.832938000000010,35.089524529999998
12098,203330301,"용원서병원","일반",128.822669999999990,35.099629999999998
12099,177170102,"강서고 부산혜원학교","일반",128.988718600000000,35.214656110000000
12100,210390201,"강서고 부산혜원학교","일반",128.988453600000010,35.214470830000003
12101,191810302,"경일고등학교입구","일반",128.924068299999990,35.113653329999998
12102,191370102,"경일고등학교입구","일반",128.924094000000000,35.113408000000000
12113,191720101,"금호마을","일반",128.958788099999990,35.162742039999998
12114,188900304,"녹산","일반",128.885818300000010,35.114133330000001
12115,191340103,"녹산","일반",128.885793299999990,35.113646670000001
12116,214970201,"녹산농협","일반",128.878322999999990,35.110633000000000
12117,191340102,"성산2구","일반",128.891619999999990,35.119244999999999
12118,191340101,"녹산중학교","일반",128.889508299999990,35.117176669999999
12133,189930401,"대흥공업사거리","일반",128.858810000000010,35.093510000000002
12134,191590201,"덕두시장","일반",128.957912800000000,35.178996200000000
12135,210700301,"덕두시장","일반",128.958281000000000,35.178689409999997
12136,176810103,"동리","일반",128.928030000000010,35.100591670000000
12137,191560201,"동리","일반",128.927723300000000,35.100541669999998
12138,191700201,"동방마을","일반",128.959643199999990,35.173690720000003
12139,191710101,"동방마을","일반",128.960113600000000,35.173383930000000
12140,190280401,"동서열처리","일반",128.845350000000000,35.093470000000003
12141,191960201,"등구마을","일반",128.962713000000010,35.193397959999999
12142,192000102,"등구마을","일반",128.963157800000000,35.193689409999998
12147,188940301,"명지시장","일반",128.931882599999990,35.111567909999998
12149,211750101,"렛츠런파크입구","일반",128.882158299999990,35.152527270000000
12150,211750201,"렛츠런파크입구","일반",128.880994899999990,35.152013529999998
12153,190310401,"부산프라스틱공업","일반",128.838539999999990,35.093490000000003
12155,208170101,"사구","일반",128.886270200000010,35.158861940000001
